Method,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10
Back Linear,4,9,7,3,10,10,6,9,10,8
Front Poisson,5,3,3,6,4,8,6,6,4,1
Front Linear,5,5,7,4,9,1,5,1,6,7
Front Gauss,1,1,2,1,5,2,1,1,2,4
Back Linear,7,6,10,6,9,7,6,6,7,7
Back Gauss,9,10,9,9,10,10,10,10,10,6
Front Poisson,2,1,5,3,4,4,1,2,4,5
Back Poisson,8,9,9,9,6,10,8,10,9,7
Back Gauss,8,10,9,10,9,10,10,10,10,10
Back Linear,10,6,1,5,8,3,5,4,6,8
Back Poisson,6,7,10,7,6,10,6,6,8,10
Back Gauss,10,10,10,10,9,9,10,10,10,9
Front Linear,2,1,7,3,1,6,5,2,6,6
Back Linear,6,7,10,4,10,4,6,9,6,10
Front Poisson,4,3,2,2,3,4,3,3,1,4
Back Gauss,10,10,8,10,10,10,10,9,10,9
Front Gauss,1,1,1,2,1,2,1,1,3,1
Front Linear,1,6,3,3,1,1,2,7,3,1
Back Gauss,9,9,8,10,10,10,9,7,10,10
Back Linear,1,10,9,10,3,3,1,4,9,2
Front Linear,1,5,2,6,2,4,1,2,5,8
Back Gauss,10,10,10,10,10,10,8,10,10,9
Front Gauss,1,4,2,1,3,2,3,1,3,2
Back Gauss,10,10,9,9,9,10,10,9,10,9
Back Linear,1,8,3,10,7,7,4,4,8,3
Front Poisson,4,1,3,3,5,2,2,4,4,7
Back Linear,7,10,1,7,10,9,5,10,8,7
Back Linear,5,9,8,10,9,7,10,6,7,7
Back Gauss,10,10,8,10,10,9,10,10,9,10
Front Linear,1,1,6,3,2,8,3,3,1,7
Back Poisson,4,8,10,7,6,10,9,7,5,9
Back Gauss,10,10,10,10,10,10,8,10,9,10
Front Poisson,4,2,3,4,5,7,7,3,1,4
Front Linear,9,2,8,1,3,1,4,2,3,5
Back Poisson,10,10,8,8,7,10,8,8,6,10
Front Linear,4,3,8,1,4,3,5,3,7,1
Back Linear,7,7,6,6,10,8,8,9,6,8
Back Linear,5,10,10,9,8,8,2,8,10,10
Front Gauss,1,1,1,6,2,4,1,2,2,1
Front Linear,3,9,2,2,4,6,2,8,3,1
Front Linear,1,3,5,2,6,5,2,3,1,7
Front Poisson,3,6,3,3,4,3,4,4,3,6
Back Gauss,10,8,10,9,10,10,10,8,10,10
Front Linear,2,5,3,3,6,3,1,3,1,5
Back Gauss,10,6,9,9,10,10,10,9,10,10
